epoch,step,test/Multiclass_Accuracy,test/Multiclass_F1_Score,test/Multiclass_Jaccard_Index,test/Multiclass_Jaccard_Index_Micro,test/loss,test/multiclassaccuracy_Mining,test/multiclassaccuracy_Non_mining,test/multiclassjaccardindex_Mining,test/multiclassjaccardindex_Non_mining,train/Multiclass_Accuracy,train/Multiclass_F1_Score,train/Multiclass_Jaccard_Index,train/Multiclass_Jaccard_Index_Micro,train/loss,train/multiclassaccuracy_Mining,train/multiclassaccuracy_Non_mining,train/multiclassjaccardindex_Mining,train/multiclassjaccardindex_Non_mining,val/Multiclass_Accuracy,val/Multiclass_F1_Score,val/Multiclass_Jaccard_Index,val/Multiclass_Jaccard_Index_Micro,val/loss,val/multiclassaccuracy_Mining,val/multiclassaccuracy_Non_mining,val/multiclassjaccardindex_Mining,val/multiclassjaccardindex_Non_mining
3,51,,,,,,,,,,0.9575453400611877,0.9575453400611877,0.6618549227714539,0.9185487031936646,,0.6836003661155701,0.9677885174751282,0.3672369718551636,0.9564728736877441,,,,,,,,,
4,52,,,,,,,,,,,,,,0.23186121881008148,,,,,,,,,,,,,
4,53,,,,,,,,,,,,,,0.1498487889766693,,,,,,,,,,,,,
4,54,,,,,,,,,,,,,,0.12596389651298523,,,,,,,,,,,,,
4,55,,,,,,,,,,,,,,0.1157737523317337,,,,,,,,,,,,,
4,56,,,,,,,,,,,,,,0.053144294768571854,,,,,,,,,,,,,
4,57,,,,,,,,,,,,,,0.23099075257778168,,,,,,,,,,,,,
4,58,,,,,,,,,,,,,,0.09302286803722382,,,,,,,,,,,,,
4,59,,,,,,,,,,,,,,0.09335564821958542,,,,,,,,,,,,,
4,60,,,,,,,,,,,,,,0.07957173138856888,,,,,,,,,,,,,
4,61,,,,,,,,,,,,,,0.16130132973194122,,,,,,,,,,,,,
4,62,,,,,,,,,,,,,,0.3437102138996124,,,,,,,,,,,,,
4,63,,,,,,,,,,,,,,0.10637279599905014,,,,,,,,,,,,,
