model,spec,dependent,treatment,coef,std_err,t,p,ci_low,ci_high,r2,r2_adj,n,n_clusters
M1_EconomicImpact,A_district_FE,perc_cashew_income,galamsey_area_20km_ha,0.0003036479386114162,0.0026540093067232763,0.11441103007521461,0.9089119706762472,-0.004898114717200322,0.005505410594423155,0.1663550434666451,0.13461729131435995,410,9
M2_RiskPerception,A_district_FE,worry_env,galamsey_area_20km_ha,0.003921825258956084,0.0017434956295659708,2.249403550229943,0.024486832941062957,0.000504636617803794,0.007339013900108375,0.035980674220973174,-0.0011923074928710253,405,9
M3_CarbonInvestment,A_district_FE,sust_participation,galamsey_area_20km_ha,-0.0004405892973830361,0.0019469665538526361,-0.2262952573639248,0.8209717868037878,-0.004256573622038266,0.0033753950272721943,0.035569615254762654,-0.0012407047736815446,409,9
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,galamsey_area_20km_ha,0.002578021386720085,0.001514063700746006,1.7027165933968618,0.08862111804445959,-0.0003894889370415172,0.005545531710481687,0.08930475387695003,0.07344687645689685,410,9
M2_RiskPerception,B_no_district_FE,worry_env,galamsey_area_20km_ha,0.0016256547660918547,0.0008973744392607087,1.811567941952003,0.07005298214044843,-0.0001331668155059606,0.00338447634768967,0.015988262044896673,-0.0013620708661505887,405,9
M3_CarbonInvestment,B_no_district_FE,sust_participation,galamsey_area_20km_ha,-0.0004835447461426525,0.0004450877418703431,-1.0864031979643065,0.2773006473376409,-0.0013559006901687851,0.00038881119788348014,0.017729673761014197,0.0005828102107078292,409,9
