model,spec,dependent,treatment,coef,std_err,t,p,ci_low,ci_high,r2,r2_adj,n,n_clusters
M1_EconomicImpact,A_district_FE,perc_cashew_income,galamsey_area_5km_ha,0.019201445740076917,0.006861695387931791,2.79835298049634,0.0051363946695228944,0.005752769906846013,0.03265012157330782,0.1757785501433411,0.14439956093560025,410,9
M2_RiskPerception,A_district_FE,worry_env,galamsey_area_5km_ha,0.01103828690884047,0.006857509970412506,1.6096639970581732,0.10747122878394533,-0.0024021856567923733,0.02447875947447331,0.030661501040522565,-0.006716590178994508,405,9
M3_CarbonInvestment,A_district_FE,sust_participation,galamsey_area_5km_ha,-0.01367702434760051,0.005598601069605335,-2.4429360437650636,0.014568318757563486,-0.02465008080783439,-0.0027039678873666297,0.05213719648233872,0.015959226882428013,409,9
M1_EconomicImpact,B_no_district_FE,perc_cashew_income,galamsey_area_5km_ha,0.019440372000945356,0.011258978456694473,1.7266550491875494,0.08422963307309726,-0.002626820276888174,0.041507564278778886,0.08399921481709849,0.06804895238854047,410,9
M2_RiskPerception,B_no_district_FE,worry_env,galamsey_area_5km_ha,0.011977470282458469,0.004456711723122872,2.6875129078498508,0.007198631997153736,0.0032424758156601938,0.020712464749256743,0.013902787116045867,-0.0034843173932430638,405,9
M3_CarbonInvestment,B_no_district_FE,sust_participation,galamsey_area_5km_ha,-0.006167259769807564,0.0025749250885674993,-2.3951220162442,0.016614835182556107,-0.01121402020628847,-0.0011204993333266558,0.02360794702512492,0.006563696723817958,409,9
